listed_in,show_id,category_type
Docuseries,81012427,Genre
Comedies,80032477,Genre
Action & Adventure,81024711,Genre
Comedies,81025908,Genre
Action & Adventure,70303495,Genre
Horror Movies,70303429,Genre
Comedies,80084768,Genre
Action & Adventure,70096752,Genre
Action & Adventure,70229046,Genre
Comedies,80084767,Genre
Comedies,81024701,Genre
Reality TV,81031355,Genre
Action & Adventure,70229048,Genre
Documentaries,80995576,Genre
Comedies,70292836,Genre
British TV Shows,80240397,Genre
Action & Adventure,80141767,Genre
Dramas,70139542,Genre
Action & Adventure,70039175,Genre
Action & Adventure,70225597,Genre
Comedies,70123119,Genre
Dramas,70150437,Genre
Comedies,80084667,Genre
Comedies,70099118,Genre
Dramas,81024705,Genre
Dramas,80198771,Genre
Action & Adventure,80062096,Genre
Children & Family Movies,70291096,Genre
Children & Family Movies,70130483,Genre
Children & Family Movies,80031038,Genre
Children & Family Movies,80065930,Genre
Children & Family Movies,80112370,Genre
Children & Family Movies,70165189,Genre
Children & Family Movies,70197459,Genre
Children & Family Movies,80095193,Genre
Children & Family Movies,70246439,Genre
Children & Family Movies,80158155,Genre
Anime Series,80202539,Genre
Children & Family Movies,80063617,Genre
British TV Shows,80204252,Genre
Kids' TV,80191075,Genre
Docuseries,80204401,Genre
Comedies,80202503,Genre
Documentaries,80147971,Genre
Comedies,70257412,Genre
Documentaries,80172937,Genre
Children & Family Movies,80118280,Genre
Docuseries,80204402,Genre
Documentaries,80135360,Genre
